,city_fuel_economy,mileage,passenger_car,price,franchise_make
233105,28.0,13527.0,1,17995.0,1
260063,28.0,11940.0,1,16301.0,1
225923,28.0,27299.0,1,15891.0,1
192915,28.0,44998.0,1,15500.0,1
100106,26.0,29937.0,0,21199.0,1
244790,28.0,14241.0,1,31588.0,1
92583,28.0,18227.0,1,19790.0,1
283204,19.0,17500.0,0,34336.0,1
132085,19.0,28073.0,0,26995.0,1
149719,28.0,20098.0,1,20250.0,1
11533,28.0,32737.0,1,26031.0,1
253103,27.0,25228.0,0,18981.0,1
264233,18.0,21684.0,0,38215.0,1
23030,19.0,0.0,0,43571.0,1
18611,18.0,33600.0,0,42788.0,1
220827,28.0,36694.0,1,19409.0,1
132710,21.0,9695.0,0,19999.0,1
236541,20.0,13287.0,0,24230.0,1
1987,18.0,3504.0,0,39999.0,1
102439,15.0,24921.0,0,37981.0,1
270236,28.0,33269.0,1,20500.0,1
208380,28.0,34709.0,1,20980.0,1
102097,26.0,14068.0,0,25977.0,1
268769,28.0,31981.0,1,18799.0,1
226234,25.0,35216.0,0,14997.0,1
10398,28.0,29651.0,1,15680.0,1
129904,28.0,30299.0,1,15998.0,1
14693,28.0,37784.0,1,19900.0,1
137722,32.0,12412.0,1,17942.0,1
95731,13.0,8394.0,0,46998.0,1
182432,15.0,40709.0,0,43600.0,1
165718,28.0,31941.0,1,17995.0,1
199005,22.0,38552.0,0,27950.0,1
123384,25.0,1577.0,1,18388.0,1
37432,14.0,16116.0,0,42199.0,1
168664,27.0,35013.0,1,20900.0,1
30544,28.0,40091.0,1,18777.0,1
153764,28.0,30458.0,1,28792.0,1
197410,19.0,25374.0,1,26861.0,1
242993,19.0,12353.0,0,36893.0,1
140655,25.0,31615.0,0,14087.0,1
96494,28.0,33780.0,1,16998.0,1
193450,28.0,37088.0,1,14518.0,1
185713,18.0,35899.0,0,26997.0,1
218336,17.0,40286.0,0,15163.0,1
152352,28.0,15145.0,1,28500.0,1
264480,26.0,15521.0,0,31995.0,1
270624,19.0,36062.0,0,33995.0,1
26001,28.0,10887.0,1,24127.0,1
15436,21.0,33934.0,0,29692.0,1
189368,17.0,45146.0,0,36950.0,1
68511,17.0,39853.0,0,15195.0,1
222017,28.0,25237.0,1,22777.0,1
75349,17.0,9484.0,0,42880.0,1
194517,28.0,33861.0,1,22189.0,1
177509,18.0,14516.0,0,34852.0,1
107674,28.0,28490.0,1,24995.0,1
44488,13.0,27854.0,0,74500.0,1
265401,16.0,34028.0,0,21700.0,1
211915,22.0,26753.0,0,25000.0,1
185623,13.0,3.0,0,47337.0,1
102292,15.0,19377.0,0,60950.0,1
254864,17.0,32676.0,0,36993.0,1
228656,22.0,17315.0,0,33998.0,1
131100,17.0,27772.0,0,33998.0,1
232408,26.0,35925.0,1,15985.0,1
183345,18.0,23134.0,0,38997.0,1
279095,26.0,32597.0,0,19491.0,1
284317,19.0,2.0,0,41452.0,1
165313,19.0,35444.0,0,29498.0,1
188918,28.0,26623.0,1,19595.0,1
32739,30.0,27956.0,1,18988.0,1
229132,26.0,38109.0,0,20000.0,1
229012,19.0,16612.0,0,31500.0,1
211974,17.0,32723.0,0,43999.0,1
176530,21.0,16166.0,0,36595.0,1
210960,24.0,5011.0,0,20995.0,1
263226,18.0,46645.0,1,24495.0,1
222437,26.0,27277.0,0,24301.0,1
124050,29.0,7444.0,0,41500.0,1
272887,22.0,34087.0,0,15611.0,1
63976,28.0,37428.0,1,19799.0,1
112504,28.0,9943.0,1,17900.0,1
